8.46,227.86,23.27,1434.84,1397.8
8.47,227.86,23.26,1434.67,1397.65
8.48,227.86,23.26,1434.5,1397.49
8.49,227.86,23.25,1434.33,1397.33
8.5,227.86,23.27,1434.15,1397.18
8.51,227.86,23.26,1433.98,1397.02
8.52,227.86,23.26,1433.81,1396.87
8.53,227.86,23.25,1433.64,1396.71
8.54,227.86,23.26,1433.46,1396.55
8.55,227.86,23.26,1433.29,1396.4
8.56,227.86,23.26,1433.12,1396.24
8.57,227.86,23.26,1432.95,1396.09
8.58,227.86,23.26,1432.77,1395.93
8.59,227.86,23.26,1432.6,1395.77
8.6,227.86,23.26,1432.43,1395.62
8.61,227.86,23.26,1432.26,1395.46
8.62,227.86,23.26,1432.08,1395.3
8.63,227.86,23.26,1431.91,1395.15
8.64,227.86,23.26,1431.74,1394.99
8.65,227.86,23.25,1431.57,1394.84
8.66,227.86,23.25,1431.39,1394.68
8.67,227.86,23.26,1431.22,1394.52
8.68,227.86,23.26,1431.05,1394.37
8.69,227.86,23.26,1430.88,1394.21
8.7,227.86,23.25,1430.7,1394.06
8.71,227.86,23.26,1430.53,1393.9
8.72,227.86,23.27,1430.36,1393.74
8.73,227.86,23.26,1430.19,1393.59
8.74,227.86,23.26,1430.01,1393.43
8.75,227.86,23.26,1429.84,1393.28
8.76,227.86,23.27,1429.67,1393.12
8.77,227.86,23.26,1429.5,1392.96
8.78,227.86,23.27,1429.32,1392.81
8.79,227.86,23.26,1429.15,1392.65
8.8,227.86,23.25,1428.98,1392.5
8.81,227.86,23.27,1428.81,1392.34
8.82,227.86,23.26,1428.63,1392.18
8.83,227.86,23.26,1428.46,1392.03
8.84,227.86,23.26,1428.29,1391.87
8.85,227.86,23.26,1428.12,1391.72
8.86,227.86,23.25,1427.94,1391.56
8.87,227.86,23.25,1427.77,1391.4
8.88,227.86,23.26,1427.6,1391.25
8.89,227.86,23.26,1427.43,1391.09
8.9,227.86,23.26,1427.25,1390.93
8.91,227.86,23.26,1427.08,1390.78
8.92,227.86,23.26,1426.91,1390.62
8.93,227.86,23.26,1426.74,1390.47
8.94,227.86,23.26,1426.56,1390.31
8.95,227.86,23.26,1426.39,1390.15
8.96,227.86,23.26,1426.22,1390
8.97,227.86,23.25,1426.05,1389.84
8.98,227.86,23.26,1425.88,1389.69
8.99,227.86,23.26,1425.7,1389.53
9,227.98,23.26,1425.52,1389.38
9.01,228.5,23.26,1425.32,1389.26
9.02,229.03,23.25,1425.12,1389.14
9.03,229.55,23.26,1424.92,1389.03
9.04,230.08,23.26,1424.72,1388.91
9.05,230.61,23.26,1424.52,1388.79
9.06,231.14,23.26,1424.33,1388.67
9.07,231.67,23.27,1424.13,1388.55
9.08,232.19,23.26,1423.93,1388.43
9.09,232.72,23.26,1423.73,1388.31
9.1,233.25,23.26,1423.53,1388.19
9.11,233.78,23.26,1423.33,1388.07
9.12,234.31,23.26,1423.13,1387.95
9.13,234.84,23.26,1422.93,1387.83
