8.46,227.86,24.62,1463.99,1424.18
8.47,227.86,24.61,1463.81,1424.01
8.48,227.86,24.6,1463.62,1423.85
8.49,227.86,24.6,1463.44,1423.68
8.5,227.86,24.59,1463.26,1423.52
8.51,227.86,24.6,1463.08,1423.35
8.52,227.86,24.6,1462.89,1423.19
8.53,227.86,24.6,1462.71,1423.02
8.54,227.86,24.59,1462.53,1422.86
8.55,227.86,24.59,1462.35,1422.69
8.56,227.86,24.59,1462.16,1422.53
8.57,227.86,24.58,1461.98,1422.36
8.58,227.86,24.59,1461.8,1422.2
8.59,227.86,24.59,1461.62,1422.03
8.6,227.86,24.59,1461.44,1421.87
8.61,227.86,24.57,1461.25,1421.7
8.62,227.86,24.58,1461.07,1421.54
8.63,227.86,24.58,1460.89,1421.37
8.64,227.86,24.57,1460.71,1421.21
8.65,227.86,24.57,1460.52,1421.04
8.66,227.86,24.56,1460.34,1420.88
8.67,227.86,24.56,1460.16,1420.71
8.68,227.86,24.56,1459.98,1420.55
8.69,227.86,24.56,1459.8,1420.38
8.7,227.86,24.56,1459.61,1420.22
8.71,227.86,24.55,1459.43,1420.05
8.72,227.86,24.56,1459.25,1419.89
8.73,227.86,24.56,1459.07,1419.72
8.74,227.86,24.56,1458.89,1419.56
8.75,227.86,24.54,1458.7,1419.4
8.76,227.86,24.55,1458.52,1419.23
8.77,227.86,24.55,1458.34,1419.07
8.78,227.86,24.55,1458.16,1418.9
8.79,227.86,24.55,1457.98,1418.74
8.8,227.86,24.54,1457.79,1418.57
8.81,227.86,24.53,1457.61,1418.41
8.82,227.86,24.55,1457.43,1418.24
8.83,227.86,24.54,1457.25,1418.08
8.84,227.86,24.53,1457.07,1417.91
8.85,227.86,24.53,1456.88,1417.75
8.86,227.86,24.53,1456.7,1417.58
8.87,227.86,24.52,1456.52,1417.42
8.88,227.86,24.52,1456.34,1417.25
8.89,227.86,24.52,1456.16,1417.09
8.9,227.86,24.52,1455.98,1416.93
8.91,227.86,24.52,1455.79,1416.76
8.92,227.86,24.52,1455.61,1416.6
8.93,227.86,24.52,1455.43,1416.43
8.94,227.86,24.51,1455.25,1416.27
8.95,227.86,24.52,1455.07,1416.1
8.96,227.86,24.51,1454.88,1415.94
8.97,227.86,24.51,1454.7,1415.77
8.98,227.86,24.5,1454.52,1415.61
8.99,227.86,24.51,1454.34,1415.45
9,227.86,24.51,1454.16,1415.28
9.01,227.86,24.5,1453.98,1415.12
9.02,227.86,24.49,1453.79,1414.95
9.03,227.86,24.48,1453.61,1414.79
9.04,227.86,24.49,1453.43,1414.62
9.05,227.86,24.5,1453.25,1414.46
